nID;nID_Subject;sOKPO;sFormPrivacy;sName;sNameFull
1;1;0000111;ПАО;ПриватБанк;Банк ПриватБанк
2;5;0000112;ПАО;Test Subject Organ;Test Subject Organ
3;6;0000113;Министерство;МВС;Міністерство Внутрішніх Справ України
4;7;0000114;ПАО;Банк Михайловский;Банк Михайловский
5;8;0000115;УЛМГ;УЛМГ;Управ. лісов. мислив. госп
6;9;0000116;ПАО;Platinum Bank;Platinum Bank
7;10;0000117;ПАО;FIDOBANK;FIDOBANK
8;11;0000118;ПАО;Банк Південний;Банк Південний
9;12;0000119;ПАО;UniCredit Bank;UniCredit Bank
10;13;0000120;ПАО;IdeaBank;IdeaBank
11;14;0000121;ПАО;Ощадбанк;Ощадбанк
12;15;0000122;ТСЦ;ТСЦ МВС;Cервісний центр МВС (реєстрація)
13;6;0000123;Министерство;МВС;ГП Міністерство Внутрішніх Справ України
14;18;0000124;УПСЗН;Соцзахист;Соцзахист субсидії
15;8;0000125;Тест Грек;Тест ескалації;Тестуємо ескалації
16;24;0000126;Гос_орган;имя_для_ескалаций;полное_имя_для_эскалаций
17;6;0000127;Министерство;МВС;Експерти НДКЦ в Сервісних Центрах
18;2042;0000128;Київ МДА;Київ МДА;Деп. містобуд. та арх. м.Київ
19;2043;0000129;Еко ДОДА;Еко ДОДА;Еко ДОДА
20;2050;0000130;ЦН БПД;ЦН БПД; Центр надання безоплатної ВПД
21;16;0000131;МВКРДА;МВКРДА212;Місцеві органи влади
22;22;0000132;МОЗ;МОЗ;Міністерство охорони здоровя
23;16;0000133;МВКРДА;МВКРДА212;Місцеві органи влади
36;16;0000134;РДА;РДАОбласть;РДА під КОАТУУ області
41;16;0000135;ЦНАП;ЦНАП41;Центри надання адміністративних послуг
42;16;0000136;ЦНАП;ЦНАП;Центри надання адміністративних послуг
53;16;0000137;ЦНАП;ЦНАП53;Центри надання адміністративних послуг
55;16;0000138;ЦНАП;ЦНАП55;Центри надання адміністративних послуг
87;20;0000139;Орган реєстрації;ОР;Органи реєстрації
88;16;0000140;ЦНАП (Довідка);ОР;Довідка о реєстрації (ЦНАП)
89;20;0000141;Орган реєстрації;ОР;Органи реєстрації
90;16;0000142;ЦНАП;ЦНАП90;Центри надання адміністративних послуг
117;16;0000143;ЦНАП;ЦНАП117;Центри надання адміністративних послуг
128;2016;0000144;ДВС;УДВС;Управління держ.виконавчої служби
161;21;0000145;РДА;РГА;Запит на публічну інформацію
184;16;0000146;ЦНАП;ЦНАП184;Центри надання адміністративних послуг
196;16;0000147;test;test;Центри надання адміністративних послуг
205;20;0000148;Служба;ДМС;Державна міграційна служба ID-карты
209;21;0000149;ОДА;ОДА239;Обласні органи влади
210;16;0000150;БТІ;БТІ;КП БТІ
211;2044;0000151;Відділ;ВСМС;Відділ сім'ї молоді спорту
212;16;0000152;МВКРДА;МВКРДА212;Місцеві органи влади
213;16;0000153;ЦНАП;ЦНАП213;Центри надання адміністративних послуг
220;16;0000154;ЦНАП;ЦНАП220;Центри надання адміністративних послуг
221;16;0000155;ДАБК;ДАБК;Державний архітектурно-будівельний контроль
222;16;0000156;ЦНАП;ЦНАП222;Центри надання адміністративних послуг
224;16;0000157;ЦНАП;ЦНАП224;Центри надання адміністративних послуг
225;16;0000158;ЦНАП;ЦНАП;Центри надання адміністративних послуг
226;21;0000159;ОДА;ОДА239;Запис на прийом до посадовця
227;20;0000160;Служба;ДМС;Державна міграційна служба не ID
228;16;0000161;ЦНАП;ЦНАП228;Центри надання адміністративних послуг
229;16;0000162;ЦНАП;ЦНАП229;Центри надання адміністративних послуг
230;16;0000163;ЦНАП;ЦНАП230;Центри надання адміністративних послуг
231;18;0000164;УПСЗН;Соцзахист;Допомога від ОДА,РДА
232;23;0000165;ПАО;Альфа Банк;Альфа Банк
233;2684;0000166;Сектор;САМ та ЖКГ;Сектор архітектури, містобудування
234;16;0000167;test;test;Центри надання адміністративних послуг
235;16;0000168;test;test;Центри надання адміністративних послуг
236;16;0000169;test;test;Центри надання адміністративних послуг
238;16;0000170;test;test;Центри надання адміністративних послуг
239;21;0000171;ОДА;ОДА209;Обласні органи влади
243;16;0000172;ЦНАП;ЦНАП243;Центри надання адміністративних послуг
244;16;0000173;ЦНАП;ЦНАП244;Центри надання адміністративних послуг
246;16;0000174;ЦНАП;ЦНАП246;Центри надання адміністративних послуг
247;16;0000175;ЦНАП;ЦНАП247;Центри надання адміністративних послуг
248;16;0000176;ЦНАП;ЦНАП248;Центри надання адміністративних послуг
254;16;0000177;test;test;Центри надання адміністративних послуг
256;16;0000178;ЦНАП;ЦНАП256;Центри надання адміністративних послуг
263;16;0000179;ЦНАП;ЦНАП263;Центри надання адміністративних послуг
264;16;0000180;ЦНАП;ЦНАП264;Центри надання адміністративних послуг
268;16;0000181;ЦНАП;ЦНАП268;Центри надання адміністративних послуг
273;16;0000182;ЦНАП;ЦНАП273;Центри надання адміністративних послуг
274;16;0000183;ЦНАП;ЦНАП274;Центри надання адміністративних послуг
275;16;0000184;ЦНАП;ЦНАП275;Центри надання адміністративних послуг
277;4;0000185;ОДА;ОДА277;Департамент економічного розвитку
283;16;0000186;test;test;Центри надання адміністративних послуг
284;19;0000187;Митниця;ДФС;Державна фіскальна служба України
285;19;0000188;Податкова;ДФС;Державна фіскальна служба України
286;19;0000189;Митниця;ДФС;Державна фіскальна служба України
287;19;0000190;Митниця;ДФС;Державна фіскальна служба України
288;20;0000191;Служба;ДМСЗагран;Державна міграційна служба
293;16;0000192;ЦНАП;ЦНАП286;Центри надання адміністративних послуг
305;16;0000193;ОблЦНАП;ОблЦНАП;ЦНАПы для всей области
306;6;0000194;Министерство;МВС(нетермінові);Міністерство Внутрішніх Справ України
307;26;0000195;УкрДок;УкрДок;УкрДок
308;6;0000196;Министерство;МВС;МВС(дозвільна система)
309;3;0000197;Управління;УКОПЖФ;УКОПЖФ міськради
310;6;0000198;Министерство;МВС;МВС(автоматизація)
311;15;0000199;ТСЦ;ТСЦ МВС;Cервісний центр МВС (посвідчення)
330;2688;0000200;Центри зайнятості;Центри зайнятості;Державна служба зайнятості України
550;2046;0000201;ДАСУ;ДАСУ;Державний обласний архів
555;2017;0000202;ВНЗ;ВНЗ;Вищий навчальний заклад
556;2017;0000203;ВНЗ;ВНЗ;Вищий навчальний заклад
624;2039;0000204;Министерство;МінІнфраструктури;Міністерство інфраструктури
628;5;0000205;МінКультури;МінКультури;Міністерство культури
630;2045;0000206;Держпродспоживслужба;Держпродспоживслужба;Держпродспоживслужба України
632;2040;0000207;Держгеокадастр;Держгеокадастр;Держгеокадастр
633;16;0000208;МВКРДА;УЕРМ;Управління економічного розвитку міста
665;2682;0000209;Департамент МВК;Департамент МВК;Департамент місцевої ради
666;2683;0000210;КП ЖРЕП;КП ЖРЕП;Житлово Комунальне підприємство
758;2041;0000211;Орган РАЦС;РАЦС Каховка;РАЦС Каховського районного відділу
759;16;0000212;ЦНАП;ЦНАП759;Центри надання адміністративних послуг
760;2047;0000213;Министерство;ЗАГС;Загс Днепропетровской обл
761;2048;0000214;ОДВ;ОДВ;Органи державної влади
935;2049;0000215;РВК;РВК;Районний військовий комісаріат
967;2051;0000216;ОВО;ОИО;Одномандатний виборчий округ
968;18;0000217;УПСЗН (ВПЛ);Соцзахист (ВПО);Соцзахист послуги щодо ВПО
969;2683;0000218;КП;КП Будинок Юстиції;КП Будинок Юстиції
970;15;0000219;ТСЦ;ТСЦ МВС;СЦ МВС (довідка про несудимість)
971;16;0000220;Управління реклами;Управління реклами;Управління реклами міської ради
1441;2685;0000221;Експертні комісії;Експертні комісії;Експертні комісії
1442;2687;0000222;ХНТУ;ХНТУ;Херсонський Національний Технічний Університет
